episode,timestep,reward
1,2000,-160.0201
3,4000,-153.5707
5,6000,-167.2433
7,8000,-152.5462
9,10000,-151.8891
11,12000,-159.96
13,14000,-158.9673
15,16000,-161.0227
17,18000,-161.3717
19,20000,-146.1295
21,22000,-160.5093
23,24000,-150.8942
25,26000,-139.8963
27,28000,-145.9676
29,30000,-139.6254
31,32000,-143.811
33,34000,-145.7543
35,36000,-135.2399
37,38000,-126.5414
39,40000,-131.6827
41,42000,-133.8159
43,44000,-122.0019
45,46000,-145.3589
47,48000,-136.0088
49,50000,-121.2332
51,52000,-130.4912
53,54000,-135.843
55,56000,-99.4599
57,58000,-104.2434
59,60000,-119.8636
61,62000,-83.0005
63,64000,-83.4781
65,66000,-79.4509
67,68000,-111.0511
69,70000,-115.753
71,72000,-94.7681
73,74000,-56.9274
75,76000,-64.5133
77,78000,-79.6139
79,80000,-67.6173
81,82000,-81.8749
83,84000,-53.869
85,86000,-34.1469
87,88000,-41.3645
89,90000,12.7044
91,92000,-53.5233
93,94000,-71.5076
95,96000,40.0382
97,98000,8.4654
