episode,timestep,reward
7,1024,-49.3859
15,2048,-37.5413
23,3072,-48.3811
31,4096,-133.8446
39,5120,62.8216
47,6144,-106.1917
55,7168,-114.4407
63,8192,-88.0999
71,9216,-6.8129
79,10240,327.9841
87,11264,-59.6848
95,12288,61.2191
103,13312,128.3982
111,14336,-22.1787
119,15360,107.7716
127,16384,59.7193
135,17408,3.7653
143,18432,59.7634
151,19456,-286.4929
159,20480,-243.1508
167,21504,72.3609
175,22528,265.1114
183,23552,151.301
191,24576,32.0084
199,25600,383.0121
207,26624,-123.319
215,27648,57.711
223,28672,319.4121
231,29696,-281.5396
239,30720,43.9599
247,31744,-223.5203
255,32768,-133.2369
263,33792,22.5913
271,34816,-78.8621
279,35840,101.9764
287,36864,411.4577
295,37888,315.7296
303,38912,194.5515
311,39936,364.1203
319,40960,419.9774
327,41984,346.2456
335,43008,535.1825
343,44032,476.1344
351,45056,376.154
359,46080,363.1395
367,47104,519.081
375,48128,461.3972
383,49152,343.9479
391,50176,415.43
399,51200,502.0742
407,52224,535.9712
415,53248,556.5114
423,54272,696.1306
431,55296,450.163
439,56320,463.6461
447,57344,487.7487
455,58368,189.6733
463,59392,501.9695
471,60416,526.5356
479,61440,330.6625
487,62464,639.1863
495,63488,759.1551
503,64512,415.3258
511,65536,324.3567
519,66560,432.4691
527,67584,804.8007
535,68608,411.5437
543,69632,685.9134
551,70656,741.7855
559,71680,807.8803
567,72704,491.3116
575,73728,365.5492
583,74752,260.4658
591,75776,494.7168
599,76800,618.5995
607,77824,640.7693
615,78848,383.7282
623,79872,306.0387
631,80896,349.301
639,81920,601.0327
647,82944,379.0458
655,83968,474.3821
663,84992,658.2883
671,86016,369.7264
679,87040,804.8466
687,88064,427.0292
695,89088,659.022
703,90112,532.5561
711,91136,361.2222
719,92160,738.3381
727,93184,615.9008
735,94208,870.8574
743,95232,472.6069
751,96256,402.4704
759,97280,746.8368
767,98304,736.8249
775,99328,422.92
783,100352,428.667
791,101376,532.8826
799,102400,442.3803
807,103424,763.2989
815,104448,655.06
823,105472,861.2846
831,106496,433.573
839,107520,703.8277
847,108544,717.5608
855,109568,189.2558
863,110592,348.8958
871,111616,305.9186
879,112640,617.9592
887,113664,784.4612
895,114688,745.1041
903,115712,522.0742
911,116736,602.6802
919,117760,499.2149
927,118784,652.2886
935,119808,652.5173
943,120832,346.5088
951,121856,623.5874
959,122880,500.3212
967,123904,232.0442
975,124928,482.8808
983,125952,653.5098
991,126976,285.0815
999,128000,555.0307
1007,129024,540.8758
1015,130048,88.7463
1023,131072,173.3126
1031,132096,325.6336
1039,133120,495.921
